symbol|name|industry|sector
ABEV3|AMBEV S/A|Beverages - Brewers|Consumer Defensive
ALOS3|ALLOS|Real Estate Services|Real Estate
AMOB3|AUTOMOB|Auto & Truck Dealerships|Consumer Cyclical
ASAI3|ASSAI|Grocery Stores|Consumer Defensive
AURE3|AUREN|Utilities - Renewable|Utilities
AZUL4|AZUL|Unknown|Unknown
AZZA3|AZZAS 2154|Footwear & Accessories|Consumer Cyclical
B3SA3|B3|Financial Data & Stock Exchanges|Financial Services
BBAS3|BRASIL|Banks - Regional|Financial Services
BBDC3|BRADESCO|Banks - Regional|Financial Services
BBDC4|BRADESCO|Banks - Regional|Financial Services
BBSE3|BBSEGURIDADE|Insurance - Diversified|Financial Services
BEEF3|MINERVA|Farm Products|Consumer Defensive
BPAC11|BTGP BANCO|Capital Markets|Financial Services
BRAP4|BRADESPAR|Asset Management|Financial Services
BRAV3|BRAVA|Oil & Gas E&P|Energy
BRFS3|BRF SA|Unknown|Unknown
BRKM5|BRASKEM|Chemicals|Basic Materials
CCRO3|CCR SA|Unknown|Unknown
CMIG4|CEMIG|Utilities - Diversified|Utilities
CMIN3|CSNMINERACAO|Steel|Basic Materials
COGN3|COGNA ON|Education & Training Services|Consumer Defensive
CPFE3|CPFL ENERGIA|Utilities - Regulated Electric|Utilities
CPLE6|COPEL|Unknown|Unknown
CRFB3|CARREFOUR BR|Unknown|Unknown
CSAN3|COSAN|Oil & Gas Refining & Marketing|Energy
CSNA3|SID NACIONAL|Steel|Basic Materials
CVCB3|CVC BRASIL|Travel Services|Consumer Cyclical
CXSE3|CAIXA SEGURI|Insurance - Diversified|Financial Services
CYRE3|CYRELA REALT|Residential Construction|Consumer Cyclical
EGIE3|ENGIE BRASIL|Utilities - Renewable|Utilities
ELET3|ELETROBRAS|Unknown|Unknown
ELET6|ELETROBRAS|Unknown|Unknown
EMBR3|EMBRAER|Unknown|Unknown
ENEV3|ENEVA|Utilities - Diversified|Utilities
ENGI11|ENERGISA|Utilities - Regulated Electric|Utilities
EQTL3|EQUATORIAL|Utilities - Regulated Electric|Utilities
FLRY3|FLEURY|Diagnostics & Research|Healthcare
GGBR4|GERDAU|Steel|Basic Materials
GOAU4|GERDAU MET|Steel|Basic Materials
HAPV3|HAPVIDA|Insurance - Life|Financial Services
HYPE3|HYPERA|Drug Manufacturers - Specialty & Generic|Healthcare
IGTI11|IGUATEMI S.A|Real Estate Services|Real Estate
IRBR3|IRBBRASIL RE|Insurance - Reinsurance|Financial Services
ISAE4|ISA ENERGIA|Utilities - Independent Power Producers|Utilities
ITSA4|ITAUSA|Conglomerates|Industrials
ITUB4|ITAUUNIBANCO|Banks - Regional|Financial Services
JBSS3|JBS|Unknown|Unknown
KLBN11|KLABIN S/A|Paper & Paper Products|Basic Materials
LREN3|LOJAS RENNER|Department Stores|Consumer Cyclical
LWSA3|LWSA|Software - Infrastructure|Technology
MGLU3|MAGAZ LUIZA|Specialty Retail|Consumer Cyclical
MRFG3|MARFRIG|Unknown|Unknown
MRVE3|MRV|Real Estate - Development|Real Estate
MULT3|MULTIPLAN|Real Estate Services|Real Estate
NTCO3|GRUPO NATURA|Unknown|Unknown
PCAR3|P.ACUCAR-CBD|Department Stores|Consumer Cyclical
PETR3|PETROBRAS|Oil & Gas Integrated|Energy
PETR4|PETROBRAS|Oil & Gas Integrated|Energy
PETZ3|PETZ|Unknown|Unknown
POMO4|MARCOPOLO|Farm & Heavy Construction Machinery|Industrials
PRIO3|PETRORIO|Oil & Gas E&P|Energy
PSSA3|PORTO SEGURO|Insurance - Diversified|Financial Services
RADL3|RAIADROGASIL|Pharmaceutical Retailers|Healthcare
RAIL3|RUMO S.A.|Railroads|Industrials
RAIZ4|RAIZEN|Utilities - Renewable|Utilities
RDOR3|REDE D OR|Medical Care Facilities|Healthcare
RECV3|PETRORECSA|Oil & Gas E&P|Energy
RENT3|LOCALIZA|Rental & Leasing Services|Industrials
SANB11|SANTANDER BR|Banks - Regional|Financial Services
SBSP3|SABESP|Utilities - Regulated Water|Utilities
SLCE3|SLC AGRICOLA|Farm Products|Consumer Defensive
SMTO3|SAO MARTINHO|Specialty Chemicals|Basic Materials
STBP3|SANTOS BRP|Unknown|Unknown
SUZB3|SUZANO S.A.|Paper & Paper Products|Basic Materials
TAEE11|TAESA|Utilities - Regulated Electric|Utilities
TIMS3|TIM|Telecom Services|Communication Services
TOTS3|TOTVS|Software - Application|Technology
UGPA3|ULTRAPAR|Oil & Gas Refining & Marketing|Energy
USIM5|USIMINAS|Steel|Basic Materials
VALE3|VALE|Other Industrial Metals & Mining|Basic Materials
VAMO3|VAMOS|Rental & Leasing Services|Industrials
VBBR3|VIBRA|Specialty Retail|Consumer Cyclical
VIVA3|VIVARA S.A.|Luxury Goods|Consumer Cyclical
VIVT3|TELEF BRASIL|Telecom Services|Communication Services
WEGE3|WEG|Electrical Equipment & Parts|Industrials
YDUQ3|YDUQS PART|Education & Training Services|Consumer Defensive
