C�digo;A��o;Tipo;Qtde. Te�rica;Part. (%);;;;
ABCB4;ABC BRASIL;PN  EJ  N2;72.905.159;0,065;;;;
ABEV3;AMBEV S/A;ON  EDJ;4.394.835.131;2,338;;;;
AGRO3;BRASILAGRO;ON      NM;63.480.488;0,066;;;;
ALOS3;ALLOS;ON  EJ  NM;476.976.044;0,4;;;;
ALPA4;ALPARGATAS;PN      N1;164.391.149;0,049;;;;
ALUP11;ALUPAR;UNT     N2;151.478.409;0,187;;;;
AMBP3;AMBIPAR;ON  ATZ NM;37.603.389;0,21;;;;
AMOB3;AUTOMOB;ON      NM;533.959.816;0,008;;;;
ANIM3;ANIMA;ON      NM;257.302.285;0,018;;;;
ARML3;ARMAC;ON      NM;171.598.756;0,042;;;;
ASAI3;ASSAI;ON      NM;1.345.832.968;0,342;;;;
AURE3;AUREN;ON      NM;323.738.747;0,128;;;;
AZEV4;AZEVEDO;PN;129.669.967;0,006;;;;
AZUL4;AZUL;PN      N2;326.872.005;0,058;;;;
AZZA3;AZZAS 2154;ON      NM;136.643.320;0,185;;;;
B3SA3;B3;ON  EJ  NM;5.392.540.963;2,557;;;;
BBAS3;BRASIL;ON      NM;2.842.613.858;3,168;;;;
BBDC3;BRADESCO;ON  EJ  N1;1.484.426.957;0,719;;;;
BBDC4;BRADESCO;PN  EJ  N1;5.129.958.973;2,698;;;;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,077;;;;
BEEF3;MINERVA;ON      NM;261.359.935;0,058;;;;
BHIA3;CASAS BAHIA;ON      NM;94.965.690;0,013;;;;
BLAU3;BLAU;ON      NM;29.680.739;0,018;;;;
BMOB3;BEMOBI TECH;ON      NM;80.992.918;0,05;;;;
BPAC11;BTGP BANCO;UNT EX  N2;1.287.247.964;1,607;;;;
BPAN4;BANCO PAN;PN  EJ  N1;285.723.480;0,083;;;;
BRAP4;BRADESPAR;PN  EJ  N1;250.969.312;0,189;;;;
BRAV3;BRAVA;ON      NM;460.791.208;0,502;;;;
BRBI11;BR PARTNERS;UNT     N2;47.238.057;0,028;;;;
BRFS3;BRF SA;ON      NM;814.523.002;0,918;;;;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,143;;;;
BRSR6;BANRISUL;PNB EJ  N1;202.536.440;0,091;;;;
CAML3;CAMIL;ON      NM;94.602.711;0,025;;;;
CASH3;MELIUZ;ON      NM;64.718.141;0,008;;;;
CBAV3;CBA;ON      NM;204.441.277;0,045;;;;
CCRO3;CCR SA;ON      NM;991.920.937;0,47;;;;
CEAB3;CEA MODAS;ON  EJ  NM;101.504.341;0,035;;;;
CLSA3;CLEARSALE;ON      NM;55.609.742;0,026;;;;
CMIG4;CEMIG;PN  EJ  N1;1.858.636.840;0,946;;;;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,377;;;;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,095;;;;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,273;;;;
CPLE3;COPEL;ON      N2;1.300.330.190;0,495;;;;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,709;;;;
CRFB3;CARREFOUR BR;ON  EJ  NM;532.664.283;0,133;;;;
CSAN3;COSAN;ON      NM;1.150.987.430;0,435;;;;
CSMG3;COPASA;ON  EJ  NM;188.462.398;0,184;;;;
CSNA3;SID NACIONAL;ON;727.459.637;0,28;;;;
CURY3;CURY S/A;ON      NM;133.117.425;0,108;;;;
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,037;;;;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,34;;;;
CYRE3;CYRELA REALT;ON      NM;273.755.006;0,211;;;;
DASA3;DASA;ON      NM;177.124.534;0,016;;;;
DIRR3;DIRECIONAL;ON      NM;109.826.474;0,13;;;;
DXCO3;DEXCO;ON  EJ  NM;301.760.723;0,082;;;;
ECOR3;ECORODOVIAS;ON      NM;334.032.615;0,064;;;;
EGIE3;ENGIE BRASIL;ON  EJ  NM;255.236.938;0,423;;;;
ELET3;ELETROBRAS;ON  ED  N1;1.977.170.723;3,114;;;;
ELET6;ELETROBRAS;PNB ED  N1;268.875.696;0,471;;;;
EMBR3;EMBRAER;ON      NM;734.631.801;1,967;;;;
ENEV3;ENEVA;ON      NM;1.929.556.616;0,912;;;;
ENGI11;ENERGISA;UNT     N2;326.175.300;0,545;;;;
EQTL3;EQUATORIAL;ON      NM;1.249.258.717;1,539;;;;
EVEN3;EVEN;ON      NM;189.773.600;0,049;;;;
EZTC3;EZTEC;ON      NM;97.334.950;0,048;;;;
FESA4;FERBASA;PN      N1;160.583.300;0,057;;;;
FLRY3;FLEURY;ON      NM;455.988.366;0,256;;;;
