symbol,name,industry,sector
ABEV3,AMBEV S/A,Unknown,Unknown
ALOS3,ALLOS,Unknown,Unknown
ALPA4,ALPARGATAS,Unknown,Unknown
AMBP3,AMBIPAR,Unknown,Unknown
AMOB3,AUTOMOB,Unknown,Unknown
ASAI3,ASSAI,Unknown,Unknown
AURE3,AUREN,Unknown,Unknown
AZUL4,AZUL,Unknown,Unknown
AZZA3,AZZAS 2154,Unknown,Unknown
B3SA3,B3,Unknown,Unknown
BBAS3,BRASIL,Unknown,Unknown
BBDC3,BRADESCO,Unknown,Unknown
BBDC4,BRADESCO,Unknown,Unknown
BBSE3,BBSEGURIDADE,Unknown,Unknown
BEEF3,MINERVA,Unknown,Unknown
BPAC11,BTGP BANCO,Unknown,Unknown
BRAP4,BRADESPAR,Unknown,Unknown
BRAV3,BRAVA,Unknown,Unknown
BRFS3,BRF SA,Unknown,Unknown
BRKM5,BRASKEM,Unknown,Unknown
CCRO3,CCR SA,Unknown,Unknown
CEAB3,CEA MODAS,Unknown,Unknown
CMIG4,CEMIG,Unknown,Unknown
CMIN3,CSNMINERACAO,Unknown,Unknown
COGN3,COGNA ON,Unknown,Unknown
CPFE3,CPFL ENERGIA,Unknown,Unknown
CPLE3,COPEL,Unknown,Unknown
CPLE6,COPEL,Unknown,Unknown
CRFB3,CARREFOUR BR,Unknown,Unknown
CSAN3,COSAN,Unknown,Unknown
CSMG3,COPASA,Unknown,Unknown
CSNA3,SID NACIONAL,Unknown,Unknown
CURY3,CURY S/A,Unknown,Unknown
CVCB3,CVC BRASIL,Unknown,Unknown
CXSE3,CAIXA SEGURI,Unknown,Unknown
CYRE3,CYRELA REALT,Unknown,Unknown
DIRR3,DIRECIONAL,Unknown,Unknown
EGIE3,ENGIE BRASIL,Unknown,Unknown
ELET3,ELETROBRAS,Unknown,Unknown
ELET6,ELETROBRAS,Unknown,Unknown
EMBR3,EMBRAER,Unknown,Unknown
ENEV3,ENEVA,Unknown,Unknown
ENGI11,ENERGISA,Unknown,Unknown
EQTL3,EQUATORIAL,Unknown,Unknown
EZTC3,EZTEC,Unknown,Unknown
FLRY3,FLEURY,Unknown,Unknown
GGBR4,GERDAU,Unknown,Unknown
GGPS3,GPS,Unknown,Unknown
GMAT3,GRUPO MATEUS,Unknown,Unknown
GOAU4,GERDAU MET,Unknown,Unknown
HAPV3,HAPVIDA,Unknown,Unknown
HYPE3,HYPERA,Unknown,Unknown
IGTI11,IGUATEMI S.A,Unknown,Unknown
IRBR3,IRBBRASIL RE,Unknown,Unknown
ISAE4,ISA ENERGIA,Unknown,Unknown
ITSA4,ITAUSA,Unknown,Unknown
ITUB4,ITAUUNIBANCO,Unknown,Unknown
JBSS3,JBS,Unknown,Unknown
KLBN11,KLABIN S/A,Unknown,Unknown
LREN3,LOJAS RENNER,Unknown,Unknown
LWSA3,LWSA,Unknown,Unknown
MGLU3,MAGAZ LUIZA,Unknown,Unknown
MOVI3,MOVIDA,Unknown,Unknown
MRFG3,MARFRIG,Unknown,Unknown
MRVE3,MRV,Unknown,Unknown
MULT3,MULTIPLAN,Unknown,Unknown
NTCO3,GRUPO NATURA,Unknown,Unknown
ONCO3,ONCOCLINICAS,Unknown,Unknown
PCAR3,P.ACUCAR-CBD,Unknown,Unknown
PETR3,PETROBRAS,Unknown,Unknown
PETR4,PETROBRAS,Unknown,Unknown
PETZ3,PETZ,Unknown,Unknown
POMO4,MARCOPOLO,Unknown,Unknown
PRIO3,PETRORIO,Unknown,Unknown
PSSA3,PORTO SEGURO,Unknown,Unknown
RADL3,RAIADROGASIL,Unknown,Unknown
RAIL3,RUMO S.A.,Unknown,Unknown
RAIZ4,RAIZEN,Unknown,Unknown
RDOR3,REDE D OR,Unknown,Unknown
RECV3,PETRORECSA,Unknown,Unknown
RENT3,LOCALIZA,Unknown,Unknown
SANB11,SANTANDER BR,Unknown,Unknown
SBSP3,SABESP,Unknown,Unknown
SLCE3,SLC AGRICOLA,Unknown,Unknown
SMFT3,SMART FIT,Unknown,Unknown
SMTO3,SAO MARTINHO,Unknown,Unknown
STBP3,SANTOS BRP,Unknown,Unknown
SUZB3,SUZANO S.A.,Unknown,Unknown
TAEE11,TAESA,Unknown,Unknown
TEND3,TENDA,Unknown,Unknown
TIMS3,TIM,Unknown,Unknown
TOTS3,TOTVS,Unknown,Unknown
UGPA3,ULTRAPAR,Unknown,Unknown
USIM5,USIMINAS,Unknown,Unknown
VALE3,VALE,Unknown,Unknown
VAMO3,VAMOS,Unknown,Unknown
VBBR3,VIBRA,Unknown,Unknown
VIVA3,VIVARA S.A.,Unknown,Unknown
VIVT3,TELEF BRASIL,Unknown,Unknown
WEGE3,WEG,Unknown,Unknown
YDUQ3,YDUQS PART,Unknown,Unknown
,,Unknown,Unknown
