symbol,name,industry,sector
AFHI11,FII AFHI CRI,Unknown,Unknown
AIEC11,FII AUTONOMY,Unknown,Unknown
AJFI11,FII AJ MALLS,Unknown,Unknown
ALZR11,FII ALIANZA,Unknown,Unknown
ARRI11,FII ATRIO,Unknown,Unknown
BARI11,FII BARI VBI,Unknown,Unknown
BBIG11,FII BBIG,Unknown,Unknown
BCIA11,FII BCIA,Unknown,Unknown
BCRI11,FII BEES CRI,Unknown,Unknown
BLMG11,FII BLUE LOG,Unknown,Unknown
BPFF11,FII ABSOLUTO,Unknown,Unknown
BPML11,FII BTG SHOP,Unknown,Unknown
BRCO11,FII BRESCO,Unknown,Unknown
BRCR11,FII BC FUND,Unknown,Unknown
BROF11,FII BROF,Unknown,Unknown
BTAL11,FII BTG AGRO,Unknown,Unknown
BTCI11,FII BTG CRI,Unknown,Unknown
BTLG11,FII BTLG,Unknown,Unknown
BTRA11,FII BTG TAGR,Unknown,Unknown
CACR11,CARTESIA FII,Unknown,Unknown
CCME11,FII CANUMA,Unknown,Unknown
CLIN11,FII CLAVE IN,Unknown,Unknown
CPSH11,FII CPSH,Unknown,Unknown
CPTS11,FII CAPI SEC,Unknown,Unknown
CVBI11,FII CVBI VBI,Unknown,Unknown
CYCR11,FII CYRELA,Unknown,Unknown
DEVA11,FII DEVANT,Unknown,Unknown
FATN11,FII ATHENA I,Unknown,Unknown
GARE11,FII GUARDIAN,Unknown,Unknown
GGRC11,FII GGRCOVEP,Unknown,Unknown
GTWR11,FII G TOWERS,Unknown,Unknown
GZIT11,FII GAZIT,Unknown,Unknown
HABT11,FII HABIT II,Unknown,Unknown
HCTR11,FII HECTARE,Unknown,Unknown
HFOF11,FII HTOPFOF3,Unknown,Unknown
HGBS11,FII HEDGEBS,Unknown,Unknown
HGCR11,FII HGCR PAX,Unknown,Unknown
HGFF11,FII HGFF PAX,Unknown,Unknown
HGLG11,FII HGLG PAX,Unknown,Unknown
HGPO11,FII HGPO PAX,Unknown,Unknown
HGRE11,FII HGRE PAX,Unknown,Unknown
HGRU11,FII HGRU PAX,Unknown,Unknown
HSAF11,FII HSI CRI,Unknown,Unknown
HSLG11,FII HSI LOG,Unknown,Unknown
HSML11,FII HSI MALL,Unknown,Unknown
HTMX11,FII HOTEL MX,Unknown,Unknown
ICRI11,FII CI IPCA,Unknown,Unknown
IRDM11,FII IRIDIUM,Unknown,Unknown
ITRI11,FII ITRI,Unknown,Unknown
JSAF11,FII JS A FIN,Unknown,Unknown
JSRE11,FII JS REAL,Unknown,Unknown
KCRE11,FII KINEA CR,Unknown,Unknown
KFOF11,FII KINEAFOF,Unknown,Unknown
KISU11,FII KILIMA,Unknown,Unknown
KIVO11,FII KIVO,Unknown,Unknown
KNCR11,FII KINEA RI,Unknown,Unknown
KNHF11,FII KINEA HF,Unknown,Unknown
KNHY11,FII KINEA HY,Unknown,Unknown
KNIP11,FII KINEA IP,Unknown,Unknown
KNRI11,FII KINEA,Unknown,Unknown
KNSC11,FII KINEA SC,Unknown,Unknown
KNUQ11,FII KINEA UN,Unknown,Unknown
KORE11,FII KORE,Unknown,Unknown
LIFE11,FII LIFE,Unknown,Unknown
LVBI11,FII LVBI VBI,Unknown,Unknown
