Código,A��o,Tipo,Qtde. Te�rica,Part. (%),
AFHI11,FII AFHI CRI,CI,4555618,0,314
AIEC11,FII AUTONOMY,CI  ER,4824987,0,165
AJFI11,FII AJ MALLS,CI,31625978,0,174
ALZR11,FII ALIANZA,CI,12226625,0,929
ARRI11,FII ATRIO,CI  ER,19646886,0,117
BARI11,FII BARI VBI,CI  ER,4634191,0,235
BBIG11,FII BBIG,CI  ER,99120994,0,629
BCIA11,FII BCIA,CI  ER,3719038,0,23
BCRI11,FII BEES CRI,CI  ER,6257873,0,275
BLMG11,FII BLUE LOG,CI  EA,4268807,0,87
BPFF11,FII ABSOLUTO,CI  ER,4492326,0,189
BPML11,FII BTG SHOP,CI,7441745,0,407
BRCO11,FII BRESCO,CI  ER,15905133,1,196
BRCR11,FII BC FUND,CI,26638202,0,821
BROF11,FII BROF,CI,11610812,0,385
BTAL11,FII BTG AGRO,CI  ER,5982736,0,308
BTCI11,FII BTG CRI,CI,99521172,0,666
BTLG11,FII BTLG,CI,43249151,3,94
BTRA11,FII BTG TAGR,CI  ER,3364559,0,106
CACR11,CARTESIA FII,CI  ER,4836324,0,304
CCME11,FII CANUMA,CI,67797053,0,436
CLIN11,FII CLAVE IN,CI,4346763,0,279
CPSH11,FII CPSH,CI,79699818,0,571
CPTS11,FII CAPI SEC,CI,317828140,1,628
CVBI11,FII CVBI VBI,CI,11010228,0,7
CYCR11,FII CYRELA,CI  ER,36549445,0,222
DEVA11,FII DEVANT,CI,14044908,0,321
FATN11,FII ATHENA I,CI,3432267,0,207
GARE11,FII GUARDIAN,CI  ER,175866045,1,112
GGRC11,FII GGRCOVEP,CI  ER,122285100,0,896
GTWR11,FII G TOWERS,CI  ER,12000000,0,637
GZIT11,FII GAZIT,CI  ER,21841231,0,702
HABT11,FII HABIT II,CI  ER,8126783,0,464
HCTR11,FII HECTARE,CI,22084202,0,321
HFOF11,FII HTOPFOF3,CI  ER,23044389,0,994
HGBS11,FII HEDGEBS,CI  ER,12729800,1,784
HGCR11,FII HGCR PAX,CI  ER,15418106,1,86
HGFF11,FII HGFF PAX,CI  ER,2863597,0,149
HGLG11,FII HGLG PAX,CI  ER,33787575,3,932
HGPO11,FII HGPO PAX,CI,1753057,0,167
HGRE11,FII HGRE PAX,CI  ER,11817767,0,904
HGRU11,FII HGRU PAX,CI  ER,23238024,2,43
HSAF11,FII HSI CRI,CI  ER,2526360,0,139
HSLG11,FII HSI LOG,CI  ER,12660067,0,736
HSML11,FII HSI MALL,CI  ER,20808572,1,112
HTMX11,FII HOTEL MX,CI  ER,3226809,0,384
ICRI11,FII CI IPCA,CI  ER,3857359,0,248
IRDM11,FII IRIDIUM,CI,36433827,1,754
ITRI11,FII ITRI,CI  ER,6250000,0,331
JSAF11,FII JS A FIN,CI  ER,77523290,0,421
JSRE11,FII JS REAL,CI  ER,20767328,0,884
KCRE11,FII KINEA CR,CI  ER,36000000,0,231
