Status do Arquivo: Parcial
RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol
2024-10-09;A1MDA930;BRA1MD9A0008;EQUITY CALL;;;;;;;;31,47;;;
2024-10-09;A1MDB930;BRA1MD9B0007;EQUITY CALL;;;;;;;;33,37;;;
2024-10-09;A1MDC930;BRA1MD9C0006;EQUITY CALL;;;;;;;;34,71;;;
2024-10-09;A1MDJ100;BRA1MD9J0041;EQUITY CALL;;;;;;;;20,16;;;
2024-10-09;A1MDJ101;BRA1MD9J0058;EQUITY CALL;;;;;;;;19,19;;;
2024-10-09;A1MDJ103;BRA1MD9J0074;EQUITY CALL;;;;;;;;17,26;;;
2024-10-09;A1MDJ105;BRA1MD9J0066;EQUITY CALL;;;;;;;;15,36;;;
2024-10-09;A1MDJ106;BRA1MD9J0090;EQUITY CALL;;;;;;;;14,42;;;
2024-10-09;A1MDJ107;BRA1MD9J0082;EQUITY CALL;;;;;;;;13,48;;;
2024-10-09;A1MDJ109;BRA1MD9J00D1;EQUITY CALL;;;;;;;;11,66;;;
2024-10-09;A1MDJ111;BRA1MD9J00C3;EQUITY CALL;;;;;;;;9,91;;;
2024-10-09;A1MDJ113;BRA1MD9J00B5;EQUITY CALL;;;;;;;;8,27;;;
2024-10-09;A1MDJ115;BRA1MD9J00A7;EQUITY CALL;;;;;;;;6,77;;;
2024-10-09;A1MDJ930;BRA1MD9J0009;EQUITY CALL;;;;;;;;27,02;;;
2024-10-09;A1MDJ960;BRA1MD9J0025;EQUITY CALL;;;;;;;;24,06;;;
2024-10-09;A1MDJ970;BRA1MD9J0033;EQUITY CALL;;;;;;;;23,08;;;
2024-10-09;A1MDJ980;BRA1MD9J0017;EQUITY CALL;;;;;;;;22,1;;;
2024-10-09;A1MDK101;BRA1MD9K0048;EQUITY CALL;;;;;;;;21,04;;;
2024-10-09;A1MDK103;BRA1MD9K0030;EQUITY CALL;;;;;;;;19,33;;;
2024-10-09;A1MDK105;BRA1MD9K0022;EQUITY CALL;;;;;;;;17,68;;;
2024-10-09;A1MDK107;BRA1MD9K0014;EQUITY CALL;;;;;;;;16,09;;;
2024-10-09;A1MDK109;BRA1MD9K0089;EQUITY CALL;;;;;;;;14,58;;;
2024-10-09;A1MDK111;BRA1MD9K0071;EQUITY CALL;;;;;;;;13,15;;;
2024-10-09;A1MDK113;BRA1MD9K0055;EQUITY CALL;;;;;;;;11,81;;;
2024-10-09;A1MDK115;BRA1MD9K0063;EQUITY CALL;;;;;;;;10,57;;;
2024-10-09;A1MDK930;BRA1MD9K0006;EQUITY CALL;;;;;;;;28,29;;;
2024-10-09;A1MDL930;BRA1MD9L0005;EQUITY CALL;;;;;;;;30,09;;;
2024-10-09;A1MDM930;BRA1MD9M0004;EQUITY PUT;;;;;;;;2,11;;;
2024-10-09;A1MDN930;BRA1MD9N0003;EQUITY PUT;;;;;;;;2,99;;;
2024-10-09;A1MDO930;BRA1MD9O0002;EQUITY PUT;;;;;;;;3,58;;;
2024-10-09;A1MDV100;BRA1MD9V0052;EQUITY PUT;;;;;;;;0,14;;;
2024-10-09;A1MDV101;BRA1MD9V0045;EQUITY PUT;;;;;;;;0,17;;;
2024-10-09;A1MDV103;BRA1MD9V0060;EQUITY PUT;;;;;;;;0,24;;;
2024-10-09;A1MDV105;BRA1MD9V0078;EQUITY PUT;;;;;;;;0,33;;;
2024-10-09;A1MDV106;BRA1MD9V0094;EQUITY PUT;;;;;;;;0,39;;;
2024-10-09;A1MDV107;BRA1MD9V0086;EQUITY PUT;;;;;;;;0,45;;;
2024-10-09;A1MDV109;BRA1MD9V00D6;EQUITY PUT;;;;;;;;0,62;;;
2024-10-09;A1MDV111;BRA1MD9V00C8;EQUITY PUT;;;;;;;;0,87;;;
2024-10-09;A1MDV113;BRA1MD9V00A2;EQUITY PUT;;;;;;;;1,23;;;
2024-10-09;A1MDV115;BRA1MD9V00B0;EQUITY PUT;;;;;;;;1,72;;;
2024-10-09;A1MDV930;BRA1MD9V0003;EQUITY PUT;;;;;;;;0,03;;;
2024-10-09;A1MDV960;BRA1MD9V0029;EQUITY PUT;;;;;;;;0,06;;;
2024-10-09;A1MDV970;BRA1MD9V0037;EQUITY PUT;;;;;;;;0,08;;;
2024-10-09;A1MDV980;BRA1MD9V0011;EQUITY PUT;;;;;;;;0,1;;;
2024-10-09;A1MDW101;BRA1MD9W0044;EQUITY PUT;;;;;;;;1,25;;;
2024-10-09;A1MDW103;BRA1MD9W0036;EQUITY PUT;;;;;;;;1,52;;;
2024-10-09;A1MDW105;BRA1MD9W0010;EQUITY PUT;;;;;;;;1,84;;;
2024-10-09;A1MDW107;BRA1MD9W0028;EQUITY PUT;;;;;;;;2,23;;;
2024-10-09;A1MDW109;BRA1MD9W0085;EQUITY PUT;;;;;;;;2,7;;;
2024-10-09;A1MDW111;BRA1MD9W0077;EQUITY PUT;;;;;;;;3,25;;;
2024-10-09;A1MDW113;BRA1MD9W0051;EQUITY PUT;;;;;;;;3,9;;;
2024-10-09;A1MDW115;BRA1MD9W0069;EQUITY PUT;;;;;;;;4,63;;;
2024-10-09;A1MDW930;BRA1MD9W0002;EQUITY PUT;;;;;;;;0,59;;;
2024-10-09;A1MDX930;BRA1MD9X0001;EQUITY PUT;;;;;;;;1,45;;;
2024-10-09;ABEVA102;BRABEV3A0DT9;EQUITY CALL;;;;;;;;3,17;;;
2024-10-09;ABEVA112;BRABEV3A0DO0;EQUITY CALL;;;;;;;;2,25;;;
2024-10-09;ABEVA116;BRABEV3A0BO4;EQUITY CALL;;;;;;;;2,47;;;
2024-10-09;ABEVA122;BRABEV3A0DR3;EQUITY CALL;;;;;;;;1,38;;;
2024-10-09;ABEVA129;BRABEV3A0DZ6;EQUITY CALL;;;;;;;;0,84;;;
2024-10-09;ABEVA13;BRABEV3A0BH8;EQUITY CALL;;;;;;;;1;;;
2024-10-09;ABEVA130;BRABEV3A0BP1;EQUITY CALL;;;;;;;;1,18;;;
2024-10-09;ABEVA134;BRABEV3A0DW3;EQUITY CALL;;;;;;;;0,56;;;
2024-10-09;ABEVA137;BRABEV3A0BK2;EQUITY CALL;;;;;;;;0,69;;;
2024-10-09;ABEVA139;BRABEV3A0DG6;EQUITY CALL;;;;;;;;0,36;;;
2024-10-09;ABEVA14;BRABEV3A0BI6;EQUITY CALL;;;;;;;;0,45;;;
2024-10-09;ABEVA147;BRABEV3A0BL0;EQUITY CALL;;;;;;;;0,29;;;
2024-10-09;ABEVA152;BRABEV3A0BC9;EQUITY CALL;;;;;;;;0,18;;;
2024-10-09;ABEVA154;BRABEV3A0DX1;EQUITY CALL;;;;;;;;0,1;;;
2024-10-09;ABEVA156;BRABEV3A0BQ9;EQUITY CALL;;;;;;;;0,14;;;
2024-10-09;ABEVA157;BRABEV3A0BB1;EQUITY CALL;;;;;;;;0,12;;;
2024-10-09;ABEVA159;BRABEV3A0DY9;EQUITY CALL;;;;;;;;0,07;;;
2024-10-09;ABEVA16;BRABEV3A0BD7;EQUITY CALL;;;;;;;;0,08;;;
2024-10-09;ABEVA167;BRABEV3A0BA3;EQUITY CALL;;;;;;;;0,06;;;
2024-10-09;ABEVA17;BRABEV3A0BF2;EQUITY CALL;;;;;;;;0,04;;;
2024-10-09;ABEVA177;BRABEV3A0BJ4;EQUITY CALL;;;;;;;;0,03;;;
