ativo,setor
A1LB34.SA,Basic Materials
A1IV34.SA,Real Estate
A1DM34.SA,Consumer Defensive
A1MD34.SA,Technology
A1EG34.SA,Financial Services
A1AP34.SA,Consumer Cyclical
A1LL34.SA,Financial Services
A1LN34.SA,Healthcare
A1MP34.SA,Financial Services
A1MT34.SA,Technology
A1VB34.SA,Real Estate
A1RE34.SA,Real Estate
A1PD34.SA,Basic Materials
A1UT34.SA,Technology
A1TH34.SA,Communication Services
A1NE34.SA,Technology
A1RG34.SA,Healthcare
A1ZN34.SA,Healthcare
AALR3.SA,Healthcare
AAPL34.SA,Technology
AALL34.SA,Industrials
ABBV34.SA,Healthcare
ABCB4.SA,Financial Services
ABEV3.SA,Consumer Defensive
ABCP11.SA,Financial
ABUD34.SA,Consumer Defensive
ACNB34.SA,Technology
AERI3.SA,Industrials
ABTT34.SA,Healthcare
ADBE34.SA,Technology
ADPR34.SA,Technology
AESB3.SA,Utilities
AGRO3.SA,Consumer Defensive
AGXY3.SA,Basic Materials
ALLD3.SA,Technology
AIRB34.SA,Consumer Cyclical
ALOS3.SA,Real Estate
ALPA3.SA,Consumer Cyclical
ALPA4.SA,Consumer Cyclical
