date|symbol|operation|quantity|price|balance
2024-01-02|ZTS|BUY|5|196.57|9017.15
2024-01-02|ZBRA|BUY|3|267.98|8213.21
2024-01-02|ZBH|BUY|8|121.39|7242.09
2024-01-02|YUM|BUY|7|129.03|6338.88
2024-01-02|XYL|BUY|8|113.67|5429.52
2024-01-02|XOM|BUY|9|102.36|4508.28
2024-01-02|XEL|BUY|15|63.47|3556.23
2024-01-02|WYNN|BUY|10|94.6|2610.23
2024-01-02|WY|BUY|28|34.79|1636.11
2024-01-02|WTW|BUY|4|239.95|676.31
2024-01-02|WST|BUY|1|348.69|327.62
2024-01-02|WRB|BUY|6|48.1|39.02
2024-01-02|WMB|BUY|1|35.52|3.5
2024-01-03|ZBRA|SELL|3|252.52|761.06
2024-01-03|ZBRA|BUY|3|252.52|3.5
2024-01-17|XOM|SELL|9|96.98|876.32
2024-01-17|XEL|SELL|15|60.09|1777.67
2024-01-17|WY|SELL|28|32.47|2686.83
2024-01-17|ZBRA|SELL|3|239.17|3404.34
2024-01-17|ZBRA|BUY|4|239.17|2447.66
2024-01-17|XOM|BUY|10|96.98|1477.86
2024-01-17|XEL|BUY|16|60.09|516.42
2024-01-17|WY|BUY|15|32.47|29.37
2024-01-17|WBD|BUY|2|10.16|9.05
2024-01-24|ZTS|SELL|5|186.07|939.4
2024-01-24|ZTS|BUY|5|186.07|9.05
2024-01-25|WRB|SELL|6|55.51|342.11
2024-01-25|WY|BUY|10|33.32|8.91
2024-02-07|WST|SELL|1|413.0|421.91
2024-02-07|WY|BUY|4|32.86|290.47
2024-02-07|WRB|BUY|5|53.56|22.67
2024-02-07|WBD|BUY|2|9.75|3.17
2024-02-09|WBD|SELL|2|9.64|22.45
2024-02-09|WBD|BUY|2|9.64|3.17
2024-02-14|WMB|SELL|1|33.05|36.22
2024-02-14|WMB|BUY|1|33.05|3.17
2024-02-15|WTW|SELL|4|277.44|1112.93
2024-02-15|ZBRA|SELL|4|283.75|2247.93
2024-02-15|ZBRA|BUY|3|283.75|1396.68
2024-02-15|WY|BUY|1|33.42|1363.26
2024-02-15|WTW|BUY|3|277.44|530.94
2024-02-15|WST|BUY|1|350.7|180.24
2024-02-15|WRB|BUY|3|54.85|15.69
2024-02-15|WBD|BUY|1|10.14|5.55
2024-02-21|WBD|SELL|1|9.57|15.12
2024-02-21|WBD|BUY|1|9.57|5.55
2024-02-23|WBD|SELL|2|8.61|22.77
2024-02-23|WBD|SELL|2|8.61|39.99
2024-02-23|WBD|SELL|1|8.61|48.6
2024-02-23|WMB|BUY|1|34.94|13.66
2024-02-23|WBD|BUY|1|8.61|5.05
2024-02-29|XEL|SELL|16|52.69|848.09
2024-02-29|XEL|BUY|16|52.69|5.05
2024-03-01|XEL|SELL|16|49.57|798.17
2024-03-01|XEL|BUY|16|49.57|5.05
2024-03-04|WBD|SELL|1|8.11|13.16
2024-03-04|WBD|BUY|1|8.11|5.05
2024-03-13|ZTS|SELL|5|176.23|886.2
