Date|symbol|sector|quantity|buy_price|price
2024-01-02|EMN|Specialty Chemicals - Materials|11|89.38|89.38
2024-01-02|DVA|Health Care Services - Health Care|9|106.89|106.89
2024-01-02|STT|Asset Management & Custody Banks - Financials|12|77.75|77.75
2024-01-02|SYK|Health Care Equipment - Health Care|3|296.23|296.23
2024-01-02|ROL|Environmental & Facilities Services - Industrials|23|43.27|43.27
2024-01-02|GILD|Biotechnology - Health Care|12|83.24|83.24
2024-01-02|ZTS|Pharmaceuticals - Health Care|5|196.57|196.57
2024-01-02|ZBRA|Electronic Equipment & Instruments - Information Technology|3|267.98|267.98
2024-01-02|YUM|Restaurants - Consumer Discretionary|7|129.03|129.03
2024-01-02|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|113.67
2024-01-02|XOM|Integrated Oil & Gas - Energy|6|102.36|102.36
2024-01-02|WBD|Broadcasting - Communication Services|2|11.66|11.66
2024-01-03|EMN|Specialty Chemicals - Materials|11|89.38|88.01
2024-01-03|DVA|Health Care Services - Health Care|9|106.89|105.29
2024-01-03|STT|Asset Management & Custody Banks - Financials|12|77.75|77.3
2024-01-03|SYK|Health Care Equipment - Health Care|3|296.23|293.94
2024-01-03|ROL|Environmental & Facilities Services - Industrials|23|43.27|42.24
2024-01-03|GILD|Biotechnology - Health Care|12|83.24|83.48
2024-01-03|ZTS|Pharmaceuticals - Health Care|5|196.57|192.93
2024-01-03|YUM|Restaurants - Consumer Discretionary|7|129.03|129.1
2024-01-03|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|111.56
2024-01-03|XOM|Integrated Oil & Gas - Energy|6|102.36|103.22
2024-01-03|WBD|Broadcasting - Communication Services|2|11.66|11.3
2024-01-03|CFG|Regional Banks - Financials|23|32.14|32.14
2024-01-03|WBD|Broadcasting - Communication Services|1|11.3|11.3
2024-01-09|EMN|Specialty Chemicals - Materials|11|89.38|87.8
2024-01-09|DVA|Health Care Services - Health Care|9|106.89|108.45
2024-01-09|STT|Asset Management & Custody Banks - Financials|12|77.75|77.32
2024-01-09|SYK|Health Care Equipment - Health Care|3|296.23|303.25
2024-01-09|ROL|Environmental & Facilities Services - Industrials|23|43.27|43.06
2024-01-09|GILD|Biotechnology - Health Care|12|83.24|86.06
2024-01-09|ZTS|Pharmaceuticals - Health Care|5|196.57|195.94
2024-01-09|YUM|Restaurants - Consumer Discretionary|7|129.03|128.22
2024-01-09|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|112.11
2024-01-09|XOM|Integrated Oil & Gas - Energy|6|102.36|99.67
2024-01-09|CFG|Regional Banks - Financials|23|32.14|33.33
2024-01-09|WBD|Broadcasting - Communication Services|1|11.3|11.03
2024-01-09|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.38
2024-01-09|WBD|Broadcasting - Communication Services|1|11.03|11.03
2024-01-11|EMN|Specialty Chemicals - Materials|11|89.38|87.07
2024-01-11|DVA|Health Care Services - Health Care|9|106.89|109.94
2024-01-11|STT|Asset Management & Custody Banks - Financials|12|77.75|76.26
2024-01-11|SYK|Health Care Equipment - Health Care|3|296.23|308.99
2024-01-11|ROL|Environmental & Facilities Services - Industrials|23|43.27|43.85
2024-01-11|GILD|Biotechnology - Health Care|12|83.24|85.39
2024-01-11|ZTS|Pharmaceuticals - Health Care|5|196.57|196.71
2024-01-11|YUM|Restaurants - Consumer Discretionary|7|129.03|129.0
2024-01-11|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|111.67
2024-01-11|XOM|Integrated Oil & Gas - Energy|6|102.36|98.67
2024-01-11|CFG|Regional Banks - Financials|23|32.14|32.61
2024-01-11|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.51
2024-01-11|WBD|Broadcasting - Communication Services|1|11.03|10.54
2024-01-11|WBD|Broadcasting - Communication Services|1|10.54|10.54
2024-01-16|EMN|Specialty Chemicals - Materials|11|89.38|86.29
2024-01-16|DVA|Health Care Services - Health Care|9|106.89|104.82
2024-01-16|STT|Asset Management & Custody Banks - Financials|12|77.75|75.87
2024-01-16|SYK|Health Care Equipment - Health Care|3|296.23|314.29
2024-01-16|ROL|Environmental & Facilities Services - Industrials|23|43.27|43.68
2024-01-16|GILD|Biotechnology - Health Care|12|83.24|85.99
2024-01-16|ZTS|Pharmaceuticals - Health Care|5|196.57|192.99
2024-01-16|YUM|Restaurants - Consumer Discretionary|7|129.03|129.81
2024-01-16|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|110.96
2024-01-16|XOM|Integrated Oil & Gas - Energy|6|102.36|97.69
2024-01-16|CFG|Regional Banks - Financials|23|32.14|31.2
2024-01-16|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.25
2024-01-16|WBD|Broadcasting - Communication Services|1|10.54|10.35
2024-01-16|WBD|Broadcasting - Communication Services|1|10.35|10.35
2024-01-17|EMN|Specialty Chemicals - Materials|11|89.38|85.71
2024-01-17|DVA|Health Care Services - Health Care|9|106.89|104.65
2024-01-17|STT|Asset Management & Custody Banks - Financials|12|77.75|74.69
2024-01-17|SYK|Health Care Equipment - Health Care|3|296.23|313.68
2024-01-17|ROL|Environmental & Facilities Services - Industrials|23|43.27|43.37
2024-01-17|GILD|Biotechnology - Health Care|12|83.24|86.48
2024-01-17|ZTS|Pharmaceuticals - Health Care|5|196.57|190.9
2024-01-17|YUM|Restaurants - Consumer Discretionary|7|129.03|129.08
2024-01-17|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|109.69
2024-01-17|CFG|Regional Banks - Financials|23|32.14|31.73
2024-01-17|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.08
2024-01-17|WBD|Broadcasting - Communication Services|1|10.54|10.16
2024-01-17|WBD|Broadcasting - Communication Services|1|10.35|10.16
2024-01-17|ULTA|Other Specialty Retail - Consumer Discretionary|1|472.76|472.76
2024-01-17|IVZ|Asset Management & Custody Banks - Financials|3|16.65|16.65
2024-01-17|INVH|Single-Family Residential REITs - Real Estate|1|33.11|33.11
2024-01-17|WBD|Broadcasting - Communication Services|2|10.16|10.16
2024-01-22|EMN|Specialty Chemicals - Materials|11|89.38|87.39
2024-01-22|DVA|Health Care Services - Health Care|9|106.89|104.63
2024-01-22|STT|Asset Management & Custody Banks - Financials|12|77.75|74.31
2024-01-22|SYK|Health Care Equipment - Health Care|3|296.23|313.27
2024-01-22|ROL|Environmental & Facilities Services - Industrials|23|43.27|44.08
2024-01-22|ZTS|Pharmaceuticals - Health Care|5|196.57|191.2
2024-01-22|YUM|Restaurants - Consumer Discretionary|7|129.03|131.06
2024-01-22|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|113.38
2024-01-22|CFG|Regional Banks - Financials|23|32.14|33.17
