Date|symbol|operation|quantity|price|balance
2024-01-02|PFE|BUY|67|29.73|8008.09
2024-01-02|DGX|BUY|14|140.82|6036.61
2024-01-02|MDLZ|BUY|27|73.84|4042.93
2024-01-02|TRGP|BUY|23|86.42|2055.27
2024-01-02|MCK|BUY|4|473.42|161.59
2024-01-02|EVRG|BUY|3|53.43|1.3
2024-01-17|PFE|SELL|67|28.15|1887.35
2024-01-17|DGX|SELL|14|133.72|3759.43
2024-01-17|TRGP|SELL|23|81.49|5633.7
2024-01-17|HD|BUY|5|355.7|3855.2
2024-01-17|DECK|BUY|16|120.75|1923.2
2024-01-17|RMD|BUY|11|170.71|45.39
2024-01-17|FITB|BUY|1|33.79|11.6
2024-01-17|WBD|BUY|1|10.16|1.44
2024-01-19|EVRG|SELL|3|50.44|152.76
2024-01-19|AVGO|BUY|1|121.12|31.64
2024-01-19|GEN|BUY|1|23.48|8.16
2024-02-02|DECK|SELL|16|147.01|2360.32
2024-02-02|GEN|SELL|1|21.23|2381.55
2024-02-02|PEP|BUY|11|170.97|500.88
2024-02-02|MGM|BUY|11|44.88|7.2
2024-02-09|WBD|SELL|1|9.64|16.84
2024-02-09|WBD|BUY|1|9.64|7.2
2024-02-16|MGM|SELL|11|42.54|475.14
2024-02-16|DD|BUY|16|28.64|16.9
2024-02-16|WBD|BUY|1|9.83|7.07
2024-02-23|WBD|SELL|1|8.61|15.68
2024-02-23|WBD|SELL|1|8.61|24.29
2024-02-23|HBAN|BUY|1|12.86|11.43
2024-02-23|WBD|BUY|1|8.61|2.82
2024-03-01|AVGO|SELL|1|139.92|142.74
2024-03-01|MRNA|BUY|1|95.06|47.68
2024-03-01|GEN|BUY|2|21.83|4.02
2024-03-04|WBD|SELL|1|8.11|12.13
2024-03-04|WBD|BUY|1|8.11|4.02
2024-03-05|PEP|SELL|11|162.04|1786.46
2024-03-05|SNA|BUY|6|283.04|88.22
2024-03-05|ROL|BUY|1|44.28|43.94
2024-03-05|WY|BUY|1|34.44|9.5
2024-03-05|WBD|BUY|1|8.14|1.36
2024-03-11|MRNA|SELL|1|111.98|113.34
2024-03-11|NEM|BUY|3|35.24|7.62
2024-03-26|MDLZ|SELL|27|70.04|1898.7
2024-03-26|MTCH|BUY|53|35.67|8.19
2024-03-27|RMD|SELL|11|196.33|2167.82
